When_,Which_of_the_following_challeng,Which_of_the_following_challe_1,Which_of_the_following_challe_2,Which_of_the_following_challe_3,Which_of_the_following_challe_4,Which_of_the_following_challe_5,Do_you_like_being_engaged_throu,Do_you_like_being_engaged_thr_1,Do_you_like_being_engaged_thr_2,What_neighborhood_do_you_live_i,What_neighborhood_do_you_live_1,Age___value,Gender___value,Education___value,Country_of_Origin,Preferred_Language,Annual_Income___value,Ballot,Locale,FID
2018-01-31T22:56:52.000Z,1,0,0,-1,1,0,1,0,0,Near Westside,,< 18,Male,High School or GED,United states,English,"Less than $10,000",,en,135
2018-02-07T17:11:48.000Z,0,-1,1,0,1,0,0,0,1,South Valley,,43 - 60,Male,Some College,,,"$50,000 - $74,999",,en,136
2018-02-07T16:38:44.000Z,1,0,1,0,0,0,1,0,0,Strathmore,,43 - 60,Male,Graduate or Professional Degree,,,"$150,000 - $199,999",,en,137
2018-02-20T16:03:15.000Z,0,0,0,1,0,0,0,0,0,Other,library,< 18,Other,Less than high school,,,,,en,138
2018-02-08T08:46:27.000Z,1,0,1,0,-1,0,1,0,0,Meadowbrook,,> 60,Female,Bachelors Degree,USA,English,"$50,000 - $74,999",,en,139
2018-02-02T14:54:12.000Z,1,0,-1,0,0,1,1,0,0,Strathmore,,< 18,Male,Less than high school,USA,English,"Less than $10,000",,en,140
2018-02-20T16:29:38.000Z,0,1,0,-1,1,0,0,0,0,Skunk City,,43 - 60,Female,Some College,,,"$35,000 - $49,999",,en,141
2018-02-07T15:47:24.000Z,0,1,0,1,0,0,1,0,0,Salt Springs,,> 60,Female,Graduate or Professional Degree,USA,English,"$35,000 - $49,999",,en,142
2018-02-03T15:09:11.000Z,0,0,1,1,0,0,1,0,0,South Valley,,43 - 60,Female,Graduate or Professional Degree,,,"$100,000 - $149,999",,en,143
2018-02-07T16:18:18.000Z,1,1,0,0,0,0,0,1,0,Other,Berkeley Park,> 60,Female,Bachelors Degree,USA,English,"$100,000 - $149,999",,en,144
2018-02-09T15:03:55.000Z,1,0,0,0,0,1,0,1,0,Westcott,,43 - 60,Female,Graduate or Professional Degree,,,"$75,000 - $99,999",,en,145
